team,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability
Argentina,0.611,0.392,0.258,0.165,0.104
Ecuador,0.641,0.431,0.279,0.163,0.095
Spain,0.599,0.381,0.243,0.146,0.089
Colombia,0.578,0.357,0.242,0.139,0.086
Brazil,0.562,0.367,0.213,0.133,0.078
France,0.549,0.332,0.182,0.095,0.057
Portugal,0.522,0.326,0.205,0.111,0.056
Paraguay,0.445,0.273,0.15,0.086,0.045
Germany,0.496,0.297,0.154,0.086,0.044
Mexico,0.577,0.33,0.167,0.088,0.043
Japan,0.454,0.238,0.125,0.062,0.029
Uruguay,0.439,0.236,0.122,0.055,0.026
Belgium,0.445,0.235,0.114,0.052,0.025
Switzerland,0.467,0.255,0.116,0.053,0.023
Morocco,0.362,0.184,0.091,0.041,0.02
Canada,0.489,0.222,0.105,0.044,0.018
England,0.435,0.202,0.09,0.041,0.018
Netherlands,0.462,0.244,0.106,0.052,0.017
United States,0.427,0.204,0.086,0.036,0.016
Norway,0.387,0.185,0.08,0.035,0.015
Croatia,0.362,0.15,0.064,0.026,0.01
Australia,0.286,0.131,0.058,0.022,0.008
Iran,0.327,0.138,0.061,0.024,0.008
Algeria,0.282,0.119,0.05,0.019,0.007
Turkey,0.277,0.139,0.066,0.025,0.007
Senegal,0.272,0.116,0.052,0.023,0.006
Austria,0.261,0.099,0.034,0.013,0.006
Scotland,0.341,0.151,0.055,0.02,0.005
Uzbekistan,0.248,0.099,0.035,0.013,0.005
Egypt,0.264,0.112,0.036,0.016,0.005
Sweden,0.213,0.08,0.031,0.013,0.005
Ivory Coast,0.269,0.114,0.049,0.015,0.004
New Zealand,0.242,0.1,0.027,0.012,0.004
Iraq,0.129,0.046,0.015,0.007,0.004
Saudi Arabia,0.199,0.073,0.025,0.008,0.002
Haiti,0.106,0.023,0.012,0.005,0.002
Bosnia and Herzegovina,0.188,0.06,0.022,0.004,0.002
South Korea,0.31,0.122,0.049,0.014,0.002
Cape Verde,0.111,0.023,0.005,0.001,0.001
DR Congo,0.137,0.041,0.011,0.003,0.001
Ghana,0.104,0.027,0.005,0.002,0.001
Jordan,0.222,0.084,0.033,0.013,0.001
Czech Republic,0.218,0.076,0.026,0.005,0.0
Curaçao,0.084,0.015,0.004,0.002,0.0
Panama,0.236,0.077,0.023,0.008,0.0
Qatar,0.104,0.02,0.004,0.001,0.0
South Africa,0.094,0.024,0.004,0.001,0.0
Tunisia,0.167,0.05,0.016,0.002,0.0
